-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=
python-blosc2 version: 2.0.0.a1
Blosc version: 2.0.0a4.dev ($Date:: 2016-08-04 #$)
Compressors available: ['blosclz', 'lz4', 'lz4hc', 'lizard', 'zstd']
Compressor library versions:
  BloscLZ: 1.1.0
  LZ4: 1.8.0
  Lizard: 1.0.0
  Zstd: 1.3.3
Python version: 3.6.3 |Anaconda, Inc.| (default, Oct 27 2017, 12:22:41) [MSC v.1900 64 bit (AMD64)]
Platform: Windows-10-AMD64 (10.0.15063)
Processor: Intel64 Family 6 Model 60 Stepping 3, GenuineIntel
Byte-ordering: little
Detected cores: 4
Number of threads to use by default: 4
-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=
BTune version: 1.0.0.
Perfomance Mode: BALANCED, Compression Mode: BALANCED, Bandwidth: 10 GB/s.
Behaviour: Waits - 0, Softs - 10, Hards - 3, Repeat Mode - STOP.
|    Codec   | Filter | C.Level | Blocksize | Shufflesize | C.Threads | D.Threads |   Score   |  C.Ratio   |   BTune State   | Readapt | Winner
|    lz4     |      1 |       6 |       256 |           4 |         4 |         4 |   0.00707 |       112x |     CLEVEL      |  SOFT   | -
|    lz4     |      1 |       8 |       256 |           4 |         4 |         4 |   0.00208 |       112x |     CLEVEL      |  SOFT   | -
|    lz4     |      1 |       7 |       128 |           4 |         4 |         4 |     0.002 |      99.7x |    BLOCKSIZE    |  SOFT   | -
|    lz4     |      1 |       7 |       512 |           4 |         4 |         4 |   0.00253 |       119x |    BLOCKSIZE    |  SOFT   | -
|    lz4     |      1 |       8 |       256 |           4 |         4 |         4 |   0.00802 |       112x |     CLEVEL      |  SOFT   | -
|    lz4     |      1 |       6 |       256 |           4 |         4 |         4 |   0.00184 |       112x |     CLEVEL      |  SOFT   | -
|    lz4     |      1 |       7 |       512 |           4 |         4 |         4 |   0.00347 |       119x |    BLOCKSIZE    |  SOFT   | -
|    lz4     |      1 |       7 |       128 |           4 |         4 |         4 |   0.00642 |      99.7x |    BLOCKSIZE    |  SOFT   | -
|    lz4     |      1 |       6 |       256 |           4 |         4 |         4 |    0.0035 |       112x |     CLEVEL      |  SOFT   | -
|    lz4     |      1 |       8 |       256 |           4 |         4 |         4 |   0.00254 |       112x |     CLEVEL      |  SOFT   | -
|    lz4     |      1 |       7 |       128 |           4 |         4 |         4 |   0.00181 |      99.7x |    BLOCKSIZE    |  SOFT   | -
|    lz4     |      1 |       7 |       512 |           4 |         4 |         4 |   0.00341 |       119x |    BLOCKSIZE    |  SOFT   | -
|    lz4     |      1 |       8 |       256 |           4 |         4 |         4 |   0.00635 |       112x |     CLEVEL      |  SOFT   | -
|    lz4     |      1 |       6 |       256 |           4 |         4 |         4 |   0.00209 |       112x |     CLEVEL      |  SOFT   | -
|    lz4     |      1 |       7 |       512 |           4 |         4 |         4 |   0.00325 |       119x |    BLOCKSIZE    |  SOFT   | -
|    lz4     |      1 |       7 |       128 |           4 |         4 |         4 |    0.0043 |      99.7x |    BLOCKSIZE    |  SOFT   | -
|    lz4     |      0 |       7 |       128 |           4 |         4 |         4 |   0.00533 |         1x |  CODEC_FILTER   |  HARD   | -
|    lz4     |      1 |       7 |       128 |           4 |         4 |         4 |   0.00181 |      99.7x |  CODEC_FILTER   |  HARD   | -
|    lz4     |      2 |       7 |       128 |           4 |         4 |         4 |   0.00587 |      34.7x |  CODEC_FILTER   |  HARD   | -
|   lizard   |      0 |       7 |       128 |           4 |         4 |         4 |    0.0101 |         1x |  CODEC_FILTER   |  HARD   | -
|   lizard   |      1 |       7 |       128 |           4 |         4 |         4 |   0.00345 |      4.48x |  CODEC_FILTER   |  HARD   | -
|   lizard   |      2 |       7 |       128 |           4 |         4 |         4 |    0.0107 |      90.4x |  CODEC_FILTER   |  HARD   | -
|    zstd    |      0 |       7 |       128 |           4 |         4 |         4 |     0.108 |      1.49x |  CODEC_FILTER   |  HARD   | -
|    zstd    |      1 |       7 |       128 |           4 |         4 |         4 |   0.00215 |       234x |  CODEC_FILTER   |  HARD   | W
|    zstd    |      2 |       7 |       128 |           4 |         4 |         4 |   0.00541 |       827x |  CODEC_FILTER   |  HARD   | -
|    zstd    |      1 |       7 |       128 |           2 |         4 |         4 |    0.0037 |       196x |  SHUFFLE_SIZE   |  HARD   | -
|    zstd    |      1 |       7 |       128 |           8 |         4 |         4 |   0.00303 |       243x |  SHUFFLE_SIZE   |  HARD   | -
|    zstd    |      1 |       7 |       128 |           4 |         3 |         4 |   0.00681 |       234x |  THREADS_COMP   |  HARD   | -
|    zstd    |      1 |       7 |       128 |           4 |         4 |         3 |   0.00487 |       234x | THREADS_DECOMP  |  HARD   | -
|    zstd    |      1 |       5 |       128 |           4 |         4 |         4 |   0.00727 |       234x |     CLEVEL      |  HARD   | -
|    zstd    |      1 |       7 |        32 |           4 |         4 |         4 |   0.00535 |      78.6x |    BLOCKSIZE    |  HARD   | -
|    zstd    |      1 |       7 |       512 |           4 |         4 |         4 |     0.015 |       399x |    BLOCKSIZE    |  HARD   | -
|    zstd    |      1 |       6 |       128 |           4 |         4 |         4 |   0.00533 |       234x |     CLEVEL      |  SOFT   | -
|    zstd    |      1 |       8 |       128 |           4 |         4 |         4 |    0.0195 |       232x |     CLEVEL      |  SOFT   | -
|    zstd    |      1 |       7 |       256 |           4 |         4 |         4 |   0.00823 |       319x |    BLOCKSIZE    |  SOFT   | -
