-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=
python-blosc2 version: 2.0.0.a1
Blosc version: 2.0.0a4.dev ($Date:: 2016-08-04 #$)
Compressors available: ['blosclz', 'lz4', 'lz4hc', 'lizard', 'zstd']
Compressor library versions:
  BloscLZ: 1.1.0
  LZ4: 1.8.0
  Lizard: 1.0.0
  Zstd: 1.3.3
Python version: 3.6.3 |Anaconda, Inc.| (default, Oct 27 2017, 12:22:41) [MSC v.1900 64 bit (AMD64)]
Platform: Windows-10-AMD64 (10.0.15063)
Processor: Intel64 Family 6 Model 60 Stepping 3, GenuineIntel
Byte-ordering: little
Detected cores: 4
Number of threads to use by default: 4
-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=
BTune version: 1.0.0.
Perfomance Mode: COMP, Compression Mode: HSP, Bandwidth: 10 GB/s.
Behaviour: Waits - 1, Softs - 3, Hards - 3, Repeat Mode - STOP.
|    Codec   | Filter | C.Level | Blocksize | Shufflesize | C.Threads | D.Threads |   Score   |  C.Ratio   |   BTune State   | Readapt | Winner
|  blosclz   |      2 |       8 |       256 |           4 |         4 |         4 |   0.00277 |        22x |  CODEC_FILTER   |  HARD   | -
|   lizard   |      0 |       8 |       256 |           4 |         4 |         4 |    0.0299 |         1x |  CODEC_FILTER   |  HARD   | -
|   lizard   |      1 |       8 |       256 |           4 |         4 |         4 |   0.00445 |      82.1x |  CODEC_FILTER   |  HARD   | -
|   lizard   |      2 |       8 |       256 |           4 |         4 |         4 |   0.00504 |       589x |  CODEC_FILTER   |  HARD   | -
|    zstd    |      0 |       8 |       256 |           4 |         4 |         4 |      8.79 |      3.43x |  CODEC_FILTER   |  HARD   | -
|    zstd    |      1 |       8 |       256 |           4 |         4 |         4 |    0.0149 |       316x |  CODEC_FILTER   |  HARD   | -
|    zstd    |      2 |       8 |       256 |           4 |         4 |         4 |      0.01 |       606x |  CODEC_FILTER   |  HARD   | -
|  blosclz   |      1 |       8 |       256 |           2 |         4 |         4 |   0.00397 |      3.86x |  SHUFFLE_SIZE   |  HARD   | -
|  blosclz   |      1 |       8 |       256 |           8 |         4 |         4 |  0.000833 |      71.2x |  SHUFFLE_SIZE   |  HARD   | -
|  blosclz   |      1 |       8 |       256 |           4 |         3 |         4 |   0.00366 |       110x |  THREADS_COMP   |  HARD   | -
|  blosclz   |      1 |       6 |       256 |           4 |         4 |         4 |   0.00449 |       110x |     CLEVEL      |  HARD   | -
|  blosclz   |      1 |       8 |      1024 |           4 |         4 |         4 |   0.00176 |       171x |    BLOCKSIZE    |  HARD   | -
|  blosclz   |      1 |       8 |        64 |           4 |         4 |         4 |   0.00191 |        79x |    BLOCKSIZE    |  HARD   | -
|  blosclz   |      1 |       0 |       256 |           4 |         4 |         4 |   0.00187 |         1x |     MEMCPY      |  HARD   | -
|  blosclz   |      1 |       7 |       256 |           4 |         4 |         4 |   0.00119 |       110x |     CLEVEL      |  SOFT   | -
|  blosclz   |      1 |       8 |       128 |           4 |         4 |         4 |   0.00118 |      97.6x |    BLOCKSIZE    |  SOFT   | -
|  blosclz   |      1 |       8 |       512 |           4 |         4 |         4 |   0.00142 |       150x |    BLOCKSIZE    |  SOFT   | -
|  blosclz   |      1 |       0 |       256 |           4 |         4 |         4 |   0.00182 |         1x |     MEMCPY      |  SOFT   | -
|  blosclz   |      1 |       8 |       256 |           4 |         4 |         4 |  0.000987 |       110x |     WAITING     |  WAIT   | W
|  blosclz   |      1 |       7 |       256 |           4 |         4 |         4 |   0.00095 |       110x |     CLEVEL      |  SOFT   | -
|  blosclz   |      1 |       8 |       512 |           4 |         4 |         4 |   0.00321 |       150x |    BLOCKSIZE    |  SOFT   | -
|  blosclz   |      1 |       8 |       128 |           4 |         4 |         4 |   0.00123 |      97.6x |    BLOCKSIZE    |  SOFT   | -
|  blosclz   |      1 |       0 |       256 |           4 |         4 |         4 |   0.00134 |         1x |     MEMCPY      |  SOFT   | -
|  blosclz   |      1 |       8 |       256 |           4 |         4 |         4 |  0.000841 |       110x |     WAITING     |  WAIT   | W
|  blosclz   |      1 |       7 |       256 |           4 |         4 |         4 |  0.000647 |       110x |     CLEVEL      |  SOFT   | -
|  blosclz   |      1 |       8 |       128 |           4 |         4 |         4 |   0.00117 |      97.6x |    BLOCKSIZE    |  SOFT   | -
|  blosclz   |      1 |       8 |       512 |           4 |         4 |         4 |   0.00152 |       150x |    BLOCKSIZE    |  SOFT   | -
|  blosclz   |      1 |       0 |       256 |           4 |         4 |         4 |   0.00499 |         1x |     MEMCPY      |  SOFT   | -
|  blosclz   |      1 |       8 |       256 |           4 |         4 |         4 |   0.00109 |       110x |     WAITING     |  WAIT   | W
|    lz4     |      0 |       8 |       256 |           4 |         4 |         4 |   0.00392 |         1x |  CODEC_FILTER   |  HARD   | -
|    lz4     |      1 |       8 |       256 |           4 |         4 |         4 |  0.000829 |       112x |  CODEC_FILTER   |  HARD   | W
